date,sessions,page_views,bounce_rate,avg_session_duration,new_users,returning_users
2023-01-01,107,262,0.35291609595186696,255,27,80
2023-01-02,88,346,0.4495103318218439,143,22,66
2023-01-03,106,215,0.42567763485136434,256,27,79
2023-01-04,124,489,0.57445377032043,124,32,92
2023-01-05,103,215,0.4087181697349899,124,26,77
2023-01-06,114,431,0.474176505083413,178,29,85
2023-01-07,137,419,0.4896792863758591,208,35,102
2023-01-08,115,458,0.30392833697650007,259,29,86
2023-01-09,87,187,0.49906121160501316,243,22,65
2023-01-10,107,333,0.3534107900609254,200,27,80
2023-01-11,98,386,0.5883210952408365,169,25,73
2023-01-12,103,314,0.34459881832593386,299,26,77
2023-01-13,124,404,0.4243872371181071,197,32,92
2023-01-14,88,298,0.32560490042359314,201,22,66
2023-01-15,81,236,0.5990622755537842,149,21,60
2023-01-16,89,290,0.4506585030993727,263,23,66
2023-01-17,87,276,0.47861550519601315,245,22,65
2023-01-18,113,430,0.32012294321652823,160,29,84
2023-01-19,100,209,0.5249881411197533,135,25,75
2023-01-20,103,264,0.3629716779286757,242,26,77
2023-01-21,141,550,0.5694162868322141,238,36,105
2023-01-22,107,405,0.36154189214460214,169,27,80
2023-01-23,101,294,0.3572063161990999,291,26,75
2023-01-24,84,272,0.3109649003544285,147,21,63
2023-01-25,103,263,0.44162008353299975,198,26,77
2023-01-26,118,280,0.4694523399787849,290,30,88
2023-01-27,110,322,0.3197125918285057,196,28,82
2023-01-28,128,346,0.5326582850085031,235,33,95
2023-01-29,104,329,0.43598665042440826,192,27,77
2023-01-30,99,213,0.457317080798274,169,25,74
2023-01-31,100,395,0.43222882408146845,297,25,75
2023-02-01,142,564,0.4202289182625978,194,36,106
2023-02-02,120,408,0.46789209939246534,281,31,89
2023-02-03,114,350,0.34657207377921373,161,29,85
2023-02-04,138,361,0.35457843914858134,158,35,103
2023-02-05,98,356,0.5585356863040551,126,25,73
2023-02-06,110,371,0.5838346386400898,237,28,82
2023-02-07,83,193,0.4119927948839259,186,21,62
2023-02-08,97,371,0.38122340194306614,276,25,72
2023-02-09,126,459,0.4931998629717047,205,32,94
2023-02-10,144,562,0.42262025132942893,294,37,107
2023-02-11,131,452,0.30761590669810346,153,33,98
2023-02-12,117,378,0.3468457792098571,276,30,87
2023-02-13,105,298,0.5147916686542192,260,27,78
2023-02-14,93,359,0.4976771825730454,259,24,69
2023-02-15,109,407,0.308128797751045,272,28,81
2023-02-16,119,249,0.3665916485798848,257,30,89
2023-02-17,152,312,0.3693224389764214,233,39,113
2023-02-18,136,374,0.5015678230796186,144,35,101
2023-02-19,95,344,0.30591316132630925,126,24,71
2023-02-20,117,465,0.33123257459537214,286,30,87
2023-02-21,112,258,0.5399748256119568,231,29,83
2023-02-22,113,360,0.3535633986163001,263,29,84
2023-02-23,137,378,0.4958238323555624,207,35,102
2023-02-24,154,607,0.37145483431401793,141,39,115
2023-02-25,148,545,0.32983241782780354,143,38,110
2023-02-26,112,412,0.3729516572998362,243,29,83
2023-02-27,110,323,0.5166800795566977,197,28,82
2023-02-28,125,354,0.5567089404318857,156,32,93
2023-03-01,140,357,0.5490659593700975,208,36,104
2023-03-02,123,260,0.41915505888553645,132,31,92
2023-03-03,138,515,0.5004255409711938,225,35,103
2023-03-04,119,431,0.3614952886247463,168,30,89
2023-03-05,108,432,0.38794431907830396,264,28,80
2023-03-06,129,515,0.568900745556336,176,33,96
2023-03-07,142,442,0.3039005770532208,202,36,106
2023-03-08,126,446,0.3256525592563404,122,32,94
2023-03-09,148,576,0.3623658765438082,133,38,110
2023-03-10,148,547,0.3079596611621459,191,38,110
2023-03-11,128,319,0.3544306305269392,206,33,95
2023-03-12,134,389,0.4749124682909076,228,34,100
2023-03-13,142,321,0.4264273651777494,172,36,106
2023-03-14,123,481,0.5678015133230925,245,31,92
2023-03-15,153,491,0.5452330685215323,275,39,114
2023-03-16,95,233,0.4025452055093628,260,24,71
2023-03-17,157,525,0.3778270300293877,127,40,117
2023-03-18,141,456,0.41390772245018004,206,36,105
2023-03-19,125,340,0.47708848275444227,139,32,93
2023-03-20,122,272,0.3804190922468629,164,31,91
2023-03-21,96,321,0.4872446723547402,298,24,72
2023-03-22,127,386,0.4228234956573721,146,32,95
2023-03-23,141,500,0.46561415425559405,210,36,105
2023-03-24,168,511,0.430837958740595,231,43,125
2023-03-25,133,493,0.3883397278625753,246,34,99
2023-03-26,119,369,0.584535992088647,221,30,89
2023-03-27,114,356,0.5290817382479283,122,29,85
2023-03-28,140,525,0.34203395272993575,179,36,104
2023-03-29,137,385,0.5605403927693738,213,35,102
2023-03-30,129,293,0.4462293594748541,136,33,96
2023-03-31,155,319,0.5683656680682274,183,40,115
2023-04-01,144,505,0.5399565767841945,126,37,107
2023-04-02,147,476,0.42756405134077,134,37,110
2023-04-03,112,382,0.3067407924960352,191,29,83
2023-04-04,123,298,0.3806032078154838,144,31,92
2023-04-05,127,289,0.46249026439826,222,32,95
2023-04-06,116,235,0.4900434659478442,244,30,86
2023-04-07,153,413,0.37736630562996065,264,39,114
2023-04-08,147,467,0.3418068222218472,156,37,110
2023-04-09,133,370,0.5504790710397898,150,34,99
2023-04-10,120,345,0.5953206542110656,139,31,89
2023-04-11,107,407,0.45770705469080575,235,27,80
2023-04-12,127,342,0.35150378575449104,247,32,95
2023-04-13,134,406,0.38169219795581066,126,34,100
2023-04-14,137,489,0.30551720296424,289,35,102
2023-04-15,141,394,0.5742896419681497,129,36,105
2023-04-16,140,454,0.3353253248670423,217,36,104
2023-04-17,152,566,0.47295494265427607,248,39,113
2023-04-18,132,515,0.3822165662061618,277,34,98
2023-04-19,138,317,0.466253400754738,249,35,103
2023-04-20,138,532,0.49542611650555923,264,35,103
2023-04-21,120,358,0.5489225411121604,181,31,89
2023-04-22,144,362,0.36192638152818096,267,37,107
2023-04-23,135,394,0.30329874859754413,134,34,101
2023-04-24,161,638,0.34106568902064216,281,41,120
2023-04-25,126,376,0.5700055925544315,219,32,94
2023-04-26,139,369,0.5621670232687546,267,35,104
2023-04-27,139,454,0.4792239306510925,201,35,104
2023-04-28,132,327,0.48015505813009596,236,34,98
2023-04-29,161,346,0.49951100236387663,215,41,120
2023-04-30,145,327,0.35261138358703487,252,37,108
2023-05-01,136,307,0.5743235837774879,135,35,101
2023-05-02,115,265,0.4256311574676219,131,29,86
2023-05-03,155,353,0.4149415584748492,164,40,115
2023-05-04,118,387,0.45567531158485125,149,30,88
2023-05-05,158,373,0.3140897900325165,277,40,118
2023-05-06,177,476,0.3498850106268238,159,45,132
2023-05-07,119,451,0.5214100849279111,296,30,89
2023-05-08,115,339,0.32483960037753795,181,29,86
2023-05-09,130,434,0.4809456328399164,153,33,97
2023-05-10,126,295,0.3736047329043963,262,32,94
2023-05-11,115,274,0.41678868421259296,239,29,86
2023-05-12,150,312,0.38660812103120995,210,38,112
2023-05-13,127,297,0.4067018149394847,220,32,95
2023-05-14,140,358,0.5157137715552736,249,36,104
2023-05-15,109,257,0.3891365146869525,161,28,81
2023-05-16,151,329,0.46992139208906913,299,38,113
2023-05-17,121,271,0.4428151206597299,295,31,90
2023-05-18,133,389,0.49910134960879443,237,34,99
2023-05-19,160,386,0.5810489217974274,156,41,119
2023-05-20,124,338,0.5197716291630751,242,32,92
2023-05-21,136,409,0.36448211357722704,133,35,101
2023-05-22,142,480,0.3093549405183854,126,36,106
2023-05-23,103,214,0.3786792132899475,166,26,77
2023-05-24,135,486,0.4785233792100764,203,34,101
2023-05-25,141,459,0.31542774404527507,276,36,105
2023-05-26,159,344,0.44890987416037087,251,41,118
2023-05-27,123,461,0.47905285467506675,254,31,92
2023-05-28,112,430,0.4002731672450882,197,29,83
2023-05-29,129,274,0.5312736611237465,182,33,96
2023-05-30,131,335,0.33197947594013155,187,33,98
2023-05-31,135,488,0.32254133452074263,298,34,101
2023-06-01,141,493,0.518456626861081,127,36,105
2023-06-02,136,322,0.44864739486185956,276,35,101
2023-06-03,144,348,0.5065207189283207,224,37,107
2023-06-04,135,370,0.43044820158112385,199,34,101
2023-06-05,110,327,0.37392060997173204,251,28,82
2023-06-06,153,495,0.5457306953022599,208,39,114
2023-06-07,137,375,0.5398247636906938,277,35,102
2023-06-08,117,342,0.508408941256328,282,30,87
2023-06-09,155,542,0.3816435411689888,196,40,115
2023-06-10,125,259,0.4770692000607261,170,32,93
2023-06-11,141,353,0.40829216908200805,227,36,105
2023-06-12,137,469,0.3274746219979902,284,35,102
2023-06-13,112,425,0.5751940726386728,158,29,83
2023-06-14,143,432,0.3410455892756884,232,36,107
2023-06-15,140,429,0.5850712061462406,234,36,104
2023-06-16,156,345,0.4338017318873867,252,40,116
2023-06-17,167,483,0.35553987865158587,144,43,124
